"Отметка времени","What is your age?","What is your gender?","What is your highest education level?","What is your employment status?","If employed, which industry do you work in?","What is your monthly income level?","How frequently do you purchase products or services online?","How important is brand name when choosing a product or service?","How important is logo design when choosing a product or service?","Which attributes are most important when choosing a brand?","Do you trust unfamiliar brands? (brands you have little or no prior knowledge about)?","Do you own many items from unfamiliar brands? (brands you were not familiar with before purchasing)","How likely are you to recommend a brand (excluding clothing) based only on its name and logo?","How likely are you to recommend a clothing brand based only on its name and logo?","What influences your brand choices most?","How memorable is the brand ""Ecotiva""?","What industry does the brand ""Ecotiva"" belong to?","How visually attractive is the brand ""Ecotiva""?","How would you rate the name ""Ecotiva""?","How memorable is the brand ""Visioniq""?","What industry does the brand ""Visioniq"" belong to?","How visually attractive is the brand ""Visioniq""?","How would you rate the name ""Visioniq""?","How memorable is the brand ""Norse Projects""?","What industry does the brand ""Norse Projects"" belong to?","How visually attractive is the brand ""Norse Projects""?","How would you rate the name ""Norse Projects""?","How memorable is the brand ""Fidelicon""?","What industry does the brand ""Fidelicon"" belong to?","How visually attractive is the brand ""Fidelicon""?","How would you rate the name ""Fidelicon""?","How memorable is the brand ""Seedlip""?","What industry does the brand ""Seedlip"" belong to?","How visually attractive is the brand ""Seedlip""?","How would you rate the name ""Seedlip""?","How memorable is the brand ""Seraphic""?","What industry does the brand ""Seraphic"" belong to?","How visually attractive is the brand ""Seraphic""?","How would you rate the name ""Seraphic""?","How memorable is the brand ""Grove Collaborative""?","What industry does ""Grove Collaborative"" belong to?","How visually attractive is ""Grove Collaborative""?","How would you rate the name ""Grove Collaborative""?","How memorable is the brand ""Etiera""?","What industry does ""Etiera?","How visually attractive is ""Etiera""?","How would you rate the name ""Etiera""?","How memorable is the brand ""Plaid""?","What industry does the brand ""Plaid"" belong to?","How visually attractive is the brand ""Plaid""?","How would you rate the name ""Plaid""?","How memorable is the brand ""Verdura""?","What industry does ""Verdura?","How visually attractive is ""Verdura""?","How would you rate the name ""Verdura""?","How memorable is the brand ""Northvolt""?","What industry does the brand ""Northvolt"" belong to?","How visually attractive is the brand ""Northvolt""?","How would you rate the name ""Northvolt""?","How memorable is the brand ""Klevu""?","What industry does the brand ""Klevu"" belong to?","How visually attractive is the brand ""Klevu""?","How would you rate the name ""Klevu""?","Which logo do you prefer? (Norse Projects or Etiera)","Which brand name do you prefer? (Norse Projects or Etiera)","Which logo do you prefer? (Verdura or Seedlip)","Which brand name do you prefer? (Verdura or Seedlip)","Which logo do you prefer? (Ecotiva or Groove Collaborative)","Which brand name do you prefer? (Ecotiva or Groove Collaborative)","Which logo do you prefer? (Seraphic or Plaid)","Which brand name do you prefer? (Seraphic or Plaid)"
"2025/04/27 10:24:54 PM GMT+3","18–24","Female","High school","Student","Not employed","Under €1000","Monthly","2","2","Trustworthiness;Price;Quality","Rarely","Very few","2","4","Online reviews","4","Health","4","Bad","4","Tech","1","Bad","4","Finance","1","Very bad","4","Services","5","Good","3","Health","4","Bad","4","Health","5","Good","5","Food","5","Neutral","4","Health","5","Very good","5","Finance","4","Bad","4","Health","5","Very bad","4","Industry","4","Very good","4","Services","4","Neutral","2","Etiera","1","Seedlip","2","Groove Collaborative","1","Seraphic"
"2025/04/27 10:33:03 PM GMT+3","18–24","Male","Bachelor's degree","Student","Not employed","€1000–€2000","Monthly","3","2","Trustworthiness;Price;Quality","Sometimes","Very few","3","5","Online reviews","4","Health","3","Good","1","Tech","1","Good","1","Retail","1","Bad","2","Tech","2","Neutral","4","Services","2","Neutral","4","Health","4","Good","3","Food","3","Bad","2","Education","3","Very bad","4","Tech","2","Good","4","Health","4","Very bad","3","Industry","4","Very good","1","Retail","1","Bad","2","Norse Projects","1","Seedlip","1","Groove Collaborative","1","Seraphic"
"2025/04/28 4:41:40 AM GMT+3","25–34","Female","Bachelor's degree","Employed full-time","Services","Over €4000","Daily","4","3","Trustworthiness;Price;Quality","Sometimes","A few","1","3","Online reviews","3","Health","3","Neutral","4","Media","4","Good","2","Tech","2","Bad","4","Tech","4","Good","4","Education","4","Neutral","4","Health","4","Good","4","Education","4","Good","5","Services","5","Very good","4","Marketing","3","Neutral","5","Food","5","Very good","2","Media","2","Neutral","4","Marketing","4","Good","2","Etiera","1","Verdura","2","Groove Collaborative","1","Seraphic"
"2025/04/28 10:14:05 AM GMT+3","18–24","Male","Bachelor's degree","Self-employed","Tech","Over €4000","Rarely","3","2","Attractiveness;Trustworthiness;Quality","Usually","A few","1","1","Online reviews","2","Fashion","2","Neutral","1","Tech","2","Very bad","1","Tech","1","Very bad","1","Tech","2","Bad","3","Health","2","Very bad","3","Health","3","Good","2","Finance","2","Neutral","3","Tech","3","Good","2","Education","2","Neutral","4","Health","4","Good","4","Fashion","4","Good","2","Health","2","Neutral","2","Etiera","1","Verdura","2","Groove Collaborative","1","Plaid"
"2025/04/28 4:20:39 PM GMT+3","35–44","Female","Other","Unemployed","Food","Prefer not to say","Monthly","5","5","Quality","Sometimes","None","3","3","Social media","5","Health","5","Very good","5","Tech","5","Very good","1","Services","1","Bad","4","Industry","4","Good","3","Other","3","Neutral","5","Tech","5","Very good","4","Marketing","4","Good","4","Finance","4","Good","5","Media","5","Very good","5","Services","5","Very good","4","Tech","4","Good","5","Finance","5","Very good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/29 12:35:56 PM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","Prefer not to say","Weekly","3","5","Attractiveness;Trustworthiness;Quality","Rarely","Very few","1","1","Advertising","2","Health","5","Very good","3","Media","5","Neutral","5","Finance","5","Very good","5","Other","4","Good","5","Fashion","5","Very good","4","Health","4","Good","3","Other","4","Good","5","Health","5","Very good","5","Other","5","Very good","5","Health","5","Very good","3","Other","4","Neutral","4","Marketing","4","Good","1","Norse Projects","2","Seedlip","1","Ecotiva","1","Seraphic"
"2025/04/29 8:08:49 PM GMT+3","35–44","Female","Bachelor's degree","Employed full-time","Industry","€1000–€2000","Rarely","4","3","Trustworthiness;Price;Quality","Sometimes","A few","2","2","Magazines/Newspapers","3","Health","4","Neutral","2","Services","2","Neutral","1","Other","1","Bad","3","Services","4","Neutral","4","Fashion","3","Neutral","4","Health","4","Neutral","4","Fashion","3","Neutral","3","Marketing","3","Good","4","Finance","4","Good","3","Other","4","Neutral","3","Industry","3","Good","4","Food","4","Neutral","2","Norse Projects","2","Seedlip","2","Groove Collaborative","1","Seraphic"
"2025/04/29 8:19:47 PM GMT+3","45+","Female","Bachelor's degree","Retired","Not employed","Under €1000","Monthly","2","2","Trustworthiness;Price;Quality","Rarely","Very few","1","3","Online reviews","4","Food","4","Good","1","Tech","2","Neutral","1","Industry","2","Neutral","4","Other","3","Neutral","1","Health","1","Very bad","3","Health","3","Good","4","Other","4","Good","2","Media","2","Bad","4","Industry","4","Good","5","Fashion","5","Very good","5","Industry","3","Neutral","5","Health","5","Very good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/29 8:28:13 PM GMT+3","45+","Male","Bachelor's degree","Employed full-time","Tech","Prefer not to say","Never","1","1","Price","Never","Many","1","1","Friends and family","1","Health","1","Neutral","1","Media","1","Bad","1","Services","1","Bad","2","Industry","1","Bad","1","Fashion","1","Very bad","2","Health","2","Bad","1","Finance","2","Bad","1","Tech","1","Bad","3","Services","2","Bad","3","Health","3","Neutral","3","Media","3","Neutral","3","Fashion","3","Neutral","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 10:07:09 AM GMT+3","18–24","Male","Bachelor's degree","Student","Not employed","€1000–€2000","Monthly","2","4","Attractiveness;Trustworthiness;Price;Quality","Sometimes","Many","1","1","Online reviews","3","Services","4","Neutral","4","Industry","5","Good","2","Marketing","2","Bad","4","Services","4","Good","2","Health","1","Very bad","4","Health","4","Good","2","Retail","2","Bad","4","Media","5","Very good","5","Finance","4","Very good","2","Health","2","Neutral","5","Industry","5","Very good","2","Marketing","2","Very bad","2","Etiera","1","Seedlip","1","Ecotiva","1","Plaid"
"2025/04/30 10:08:37 AM GMT+3","18–24","Male","Bachelor's degree","Employed full-time","Tech","€1000–€2000","Monthly","4","2","Uniqueness;Trustworthiness;Price;Quality","Rarely","A few","3","3","Online reviews","2","Health","3","Neutral","3","Tech","2","Bad","2","Industry","2","Bad","2","Tech","2","Bad","1","Fashion","1","Very bad","3","Health","4","Neutral","3","Media","2","Bad","2","Health","3","Bad","4","Finance","4","Good","4","Health","4","Good","2","Services","2","Neutral","3","Health","4","Good","2","Etiera","1","Verdura","1","Ecotiva","2","Plaid"
"2025/04/30 10:33:41 AM GMT+3","25–34","Female","High school","Student","Not employed","Under €1000","Weekly","3","4","Attractiveness;Trustworthiness;Price","Sometimes","A few","3","3","Online reviews","1","Industry","2","Good","2","Tech","2","Very bad","1","Fashion","1","Neutral","3","Finance","3","Good","3","Fashion","1","Very bad","2","Tech","2","Neutral","2","Health","2","Neutral","2","Fashion","2","Good","2","Finance","2","Neutral","4","Other","4","Good","3","Fashion","3","Good","1","Tech","1","Very bad","1","Etiera","1","Verdura","2","Ecotiva","2","Plaid"
"2025/04/30 10:33:44 AM GMT+3","25–34","Male","Master's degree","Student","Education","Over €4000","Monthly","5","3","Memorability;Attractiveness;Trustworthiness;Quality","Rarely","A few","4","4","Advertising","2","Services","3","Good","3","Tech","4","Neutral","3","Industry","3","Neutral","4","Tech","4","Good","4","Fashion","4","Good","4","Tech","4","Good","4","Services","4","Neutral","3","Marketing","3","Neutral","4","Fashion","4","Neutral","4","Food","4","Good","4","Finance","4","Good","4","Tech","4","Neutral","2","Etiera","2","Seedlip","1","Ecotiva","2","Plaid"
